Date,Close,MA,3個月,6個月,1年,2年,3年
1999-07-17,7366.2300,7305.9458,0.0327,0.2014,0.1436,-0.3050,-0.3115
1999-09-27,7759.9300,7795.5292,-0.0026,0.1604,-0.0067,-0.4190,-0.3984
2000-03-16,8682.7600,8475.7063,0.0444,-0.1312,-0.3367,-0.3076,-0.4957
2002-05-07,5663.9800,5587.0548,-0.1312,-0.2054,-0.2507,0.0393,0.0401
2003-02-12,4624.8700,4609.5732,-0.0614,0.1363,0.4272,0.3223,0.4137
2004-03-23,6172.8900,6168.4634,-0.0978,-0.0500,-0.0201,0.0790,0.3097
2004-04-30,6117.8100,6324.5405,-0.1256,-0.0755,-0.0247,0.1730,0.3308
2005-01-14,5889.5200,5823.1208,-0.0223,0.0901,0.1014,0.3280,0.2825
2005-03-29,5961.2400,5970.3652,0.0597,-0.0050,0.1182,0.3546,0.5249
2005-08-25,6109.6600,6118.6414,0.0004,0.0873,0.0781,0.4590,0.0233
2006-06-05,6715.2700,6703.9448,-0.0154,0.1269,0.2361,0.2166,-0.0721
2007-03-05,7344.5600,7381.4345,0.1294,0.2230,0.1412,-0.3231,0.0685
2007-08-16,8201.3700,8387.8297,0.0687,-0.0113,-0.1573,-0.1842,-0.0583
2007-11-08,8937.5800,9022.5334,-0.1200,0.0291,-0.5035,-0.1281,-0.0763
2008-06-10,8370.0000,8428.0983,-0.2045,-0.4721,-0.2562,-0.1094,0.0272
2010-01-26,7598.8100,7580.7268,0.0437,0.0412,0.1917,0.0411,0.0379
2010-05-05,7696.9000,7838.4177,0.0339,0.0887,0.1723,-0.0415,0.0884
2010-08-26,7689.7400,7715.5655,0.0790,0.1210,0.0067,-0.0310,0.0675
2011-02-25,8599.6500,8508.0173,0.0453,-0.1188,-0.0692,-0.0680,0.0154
2011-05-23,8747.5100,8779.4380,-0.1606,-0.1730,-0.1916,-0.0563,0.0543
2012-04-23,7481.0900,7501.9208,-0.0423,-0.0097,0.0733,0.1888,0.2805
2012-10-22,7373.0400,7358.2758,0.0488,0.0977,0.1481,0.2059,0.1419
2013-06-14,7937.7400,7932.3738,0.0362,0.0534,0.1626,0.1811,0.1139
2013-11-13,8104.2600,8137.4968,0.0583,0.1068,0.1203,0.0443,0.1537
2014-02-05,8264.4800,8293.0338,0.0806,0.1049,0.1512,0.0085,0.1783
2014-08-08,9085.9600,9018.9372,-0.0191,0.0469,-0.1000,0.0050,0.1609
2014-09-16,9133.4000,9168.3871,-0.0162,0.0655,-0.1029,0.0165,0.1796
2015-06-04,9348.6300,9479.0068,-0.1340,-0.1016,-0.0794,0.1244,0.1469
2016-04-29,8377.9000,8371.0608,0.0839,0.0909,0.1920,0.3089,0.2393
2016-11-09,8943.2000,8948.9253,0.0958,0.1123,0.1881,0.0810,0.3039
2016-12-22,9118.7500,9123.0509,0.0760,0.1348,0.1671,0.0488,0.2606
2017-09-26,10257.0200,10259.9226,0.0161,0.0550,0.0450,0.0904,0.2232
2017-12-01,10600.3700,10534.3293,0.0379,0.0514,-0.0899,0.1298,0.4150
2018-02-06,10404.0000,10677.2672,0.0410,0.0269,-0.0078,0.0576,0.5561
2018-04-20,10779.3800,10792.7960,0.0142,-0.0798,0.0209,0.0001,0.5440
2018-06-20,10927.4400,10861.3631,-0.0090,-0.1043,-0.0029,0.1173,0.6081
2019-05-29,10301.7800,10251.5450,0.0129,0.1153,0.1377,0.6829,0.3801
2019-08-02,10549.0400,10621.3445,0.1047,0.1178,0.2282,0.6179,0.3913
2020-02-03,11354.9200,11280.0253,-0.0511,0.1275,0.3889,0.5901,0.3931
2021-05-12,15902.3700,15566.6956,0.0894,0.1042,0.0160,0.0511,0.4311
2021-08-16,16858.7700,16953.6573,0.0495,0.0710,-0.0984,-0.0253,0.3306
2022-02-24,17594.5500,17566.6760,-0.0559,-0.1316,-0.1037,0.1497,0.0799
2023-08-17,16516.6600,16291.7339,0.0419,0.1472,0.3442,0.5267,
2024-08-05,19830.8800,21037.2752,0.1804,0.1675,0.2346,,
2024-11-01,22780.0800,22298.3407,0.0207,-0.0438,0.2249,,
