Date,Close,MA,3個月,6個月,1年,2年,3年
2000-05-03,8420.0000,8402.9109,-0.0617,-0.3312,-0.3548,-0.2631,-0.5026
2000-06-26,8529.5600,8526.6788,-0.1731,-0.3938,-0.3892,-0.3994,-0.4117
2002-06-27,5071.7600,5092.1879,-0.1747,-0.1040,0.0046,0.1331,0.2227
2004-05-05,5854.2300,5874.1998,-0.0832,0.0011,0.0137,0.2015,0.4035
2005-04-18,5715.1600,5862.1411,0.1217,0.0202,0.2416,0.3780,0.5619
2005-08-29,6049.4400,6031.4862,0.0255,0.0870,0.0995,0.4907,0.0005
2006-06-08,6331.8100,6421.8380,0.0636,0.2019,0.3182,0.2710,0.0076
2007-11-20,8680.8600,8448.4874,-0.0430,-0.0017,-0.5085,-0.1085,-0.0361
2008-05-26,8707.8300,8745.8112,-0.2063,-0.5210,-0.2014,-0.1532,0.0389
2010-05-07,7567.1000,7436.6891,0.0489,0.0960,0.1938,-0.0439,0.1099
2010-08-26,7689.7400,7703.2837,0.0790,0.1210,0.0067,-0.0310,0.0675
2011-03-15,8234.7800,8147.0458,0.0510,-0.1222,-0.0318,-0.0460,0.0814
2011-06-27,8500.1600,8483.9455,-0.1710,-0.1804,-0.1565,-0.0586,0.1200
2012-10-12,7437.0400,7433.1616,0.0504,0.0717,0.1319,0.1972,0.1621
2013-06-25,7663.2300,7676.8796,0.0830,0.1035,0.2377,0.1789,0.1818
2013-08-22,7814.3800,7803.3467,0.0365,0.1056,0.2076,0.0239,0.1713
2014-10-13,8711.3900,8859.3786,0.0579,0.0944,-0.0118,0.0491,0.2332
2015-06-04,9348.6300,9325.1495,-0.1340,-0.1016,-0.0794,0.1244,0.1469
2018-02-06,10404.0000,10386.3045,0.0410,0.0269,-0.0078,0.0576,0.5561
2018-04-24,10579.5000,10583.9199,0.0393,-0.0760,0.0300,0.0152,0.5947
2018-06-26,10742.1700,10711.6504,0.0214,-0.0992,0.0041,0.1333,0.6200
2018-08-13,10748.9200,10775.5454,-0.0854,-0.0555,-0.0196,0.1757,0.6145
2019-05-14,10519.2500,10449.7853,-0.0149,0.0885,0.0454,0.6241,0.4869
2019-08-06,10394.7500,10383.4747,0.1140,0.1317,0.2293,0.6736,0.4030
2020-03-02,11170.4600,11057.8104,-0.0038,0.1372,0.4552,0.5873,0.4177
2022-03-07,17178.6900,17318.8220,-0.0296,-0.1466,-0.1005,0.1772,0.1290
2025-03-11,22071.0900,22231.3507,0.0098,0.1261,0.4776,,
