Date,Close,MA,3個月,6個月,1年,2年,3年
1973-01-26,129.8000,130.2598,-0.1649,-0.1572,-0.2650,-0.4961,-0.3444
1975-10-01,73.8000,73.9887,0.0515,0.2276,0.2371,0.3591,0.7900
1975-12-03,75.7000,76.7913,0.1836,0.1664,0.2127,0.3699,0.5152
1976-11-09,88.1000,88.1379,0.0965,0.1033,0.1146,0.2804,0.5403
1977-10-25,96.8000,97.2967,0.0424,0.1849,0.2510,0.3698,1.0300
1978-10-27,115.3000,116.0808,0.0997,0.1605,0.1605,0.7016,0.6565
1980-03-17,139.7000,143.8321,0.1224,0.3572,0.4545,0.2047,0.8919
1981-08-24,200.8000,204.9321,-0.0110,-0.1160,-0.1539,0.4895,0.2470
1983-10-24,276.8000,279.1538,0.0072,-0.1181,-0.0947,0.0423,0.2757
1985-10-08,277.0000,277.9908,0.1845,0.3509,0.2722,0.6155,0.3870
1986-09-11,353.3000,353.7448,0.0164,0.2242,0.2553,0.0747,0.3295
1987-10-16,406.3000,413.4342,-0.1619,-0.0768,-0.0534,0.1501,-0.1937
1988-11-16,367.8000,370.6667,0.1030,0.1958,0.2393,-0.0296,0.5122
1989-12-18,436.0000,438.5092,0.0094,0.0562,-0.1612,0.2471,0.5017
1990-07-23,444.6000,449.7118,-0.2411,-0.1460,0.1133,0.2692,0.5651
1992-06-17,553.2400,562.2851,0.0590,0.1763,0.2585,0.3301,0.6190
1994-03-31,743.4600,744.2917,-0.0492,0.0280,0.0992,0.4815,0.6433
1994-10-04,747.3000,754.0493,-0.0020,0.0889,0.3655,0.6346,1.2557
1994-11-22,741.2100,753.7777,0.0676,0.1845,0.3829,0.7035,1.1592
1996-07-15,1060.1900,1088.7144,0.1774,0.2554,0.4374,0.8567,1.6581
1997-03-31,1221.7000,1233.6926,0.1772,0.3770,0.4887,1.0302,2.9567
1998-08-27,1686.4100,1739.3630,0.1772,0.3610,0.6360,1.3972,0.1340
2000-04-14,3321.2900,3338.7018,0.2871,-0.0014,-0.4209,-0.4705,-0.5630
2000-07-28,3663.0000,3695.8943,-0.1067,-0.2251,-0.4491,-0.6593,-0.5321
2000-09-15,3835.2300,3858.6202,-0.2886,-0.4912,-0.6289,-0.6816,-0.5112
2004-05-17,1876.6400,1900.8680,-0.0434,0.1159,0.0679,0.1701,0.3633
2004-07-08,1935.3200,1945.8351,0.0185,0.0806,0.0725,0.1006,0.3637
2005-03-29,1973.8800,1987.9742,0.0361,0.0748,0.1675,0.2249,0.1546
2005-10-10,2078.9200,2079.0968,0.1161,0.1113,0.1138,0.3335,-0.2066
2006-05-17,2195.8000,2209.6111,-0.0211,0.1070,0.1652,0.1459,-0.2101
2007-08-15,2458.8300,2461.2645,0.0874,-0.0514,-0.0021,-0.1925,-0.1126
2007-11-26,2540.9900,2562.3377,-0.0737,-0.0214,-0.4207,-0.1463,0.0008
2010-06-07,2173.9000,2179.9925,0.0275,0.1921,0.2432,0.2779,0.5751
2011-08-04,2556.3900,2642.7350,0.0327,0.1366,0.1610,0.4340,0.7036
2012-06-01,2747.4800,2749.2255,0.1096,0.0927,0.2540,0.5475,0.8477
2012-11-08,2895.5800,2925.5791,0.1024,0.1868,0.3321,0.5999,0.7769
2012-12-28,2960.3100,2975.8494,0.0942,0.1496,0.4041,0.6238,0.6785
2014-10-13,4213.6600,4250.6885,0.1063,0.1812,0.1371,0.2554,0.5508
2015-08-21,4706.0400,4843.1883,0.0784,-0.0464,0.1111,0.3221,0.6609
2015-12-11,4933.4700,4946.7146,-0.0371,-0.0172,0.1036,0.3936,0.4388
2018-10-11,7329.0600,7388.5691,-0.0577,0.0883,0.0982,0.6187,0.9882
2019-05-29,7547.3100,7562.1251,0.0371,0.1438,0.2414,0.8200,0.5556
2020-03-09,7950.6800,8336.5477,0.2483,0.4229,0.6444,0.6094,0.4261
2022-01-18,14506.9000,14511.3442,-0.0612,-0.1799,-0.2519,0.0588,0.3824
2025-03-10,17468.3200,18026.0148,0.1215,0.2525,0.3004,,
2026-03-26,21408.0800,21606.8461,0.1817,,,,
