Date,Close,MA,3個月,6個月,1年,2年,3年
1971-09-27,108.2000,108.3950,0.0323,0.1793,0.1784,0.0222,-0.4566
1972-05-09,125.8000,128.4158,0.0382,0.0620,-0.1328,-0.3299,-0.3458
1972-06-12,130.4000,130.5892,-0.0161,0.0337,-0.2055,-0.3620,-0.3604
1972-12-21,131.1000,131.1650,-0.1083,-0.2372,-0.3234,-0.5584,-0.4211
1973-08-14,103.6000,103.6817,0.0145,-0.1264,-0.3359,-0.2365,-0.1139
1973-11-05,107.1000,108.3867,-0.1363,-0.1905,-0.3968,-0.2820,-0.1653
1974-03-28,92.9000,93.8917,-0.1733,-0.3767,-0.1851,-0.0215,0.0258
1974-11-19,60.9000,60.9867,0.2085,0.3399,0.2791,0.4745,0.6732
1975-07-25,83.6000,84.0750,-0.0538,0.0203,0.0957,0.2321,0.4785
1975-12-03,75.7000,77.0117,0.1836,0.1664,0.2127,0.3699,0.5152
1976-04-09,88.9000,89.0400,0.0337,0.0056,0.0619,0.2193,0.5039
1976-08-20,90.2000,90.3750,-0.0022,0.0687,0.1098,0.4834,0.6397
1977-02-24,94.8000,95.8483,0.0148,0.0559,0.0833,0.3186,0.6888
1977-08-26,99.9000,99.9100,0.0440,0.0230,0.3594,0.4955,0.8188
1978-01-09,100.2000,101.3583,0.0828,0.1916,0.2166,0.4830,1.0369
1978-10-17,131.0000,133.1050,-0.0565,0.0145,0.0557,0.5191,0.4458
1979-05-08,129.6000,129.6533,0.1057,0.0502,0.0972,0.6358,0.4344
1979-10-09,145.2000,146.4217,0.0441,-0.0634,0.3512,0.3003,0.3223
1980-03-04,155.4000,155.8650,-0.0354,0.1731,0.2793,0.1454,0.6847
1980-12-08,195.9000,197.1900,0.0158,0.1230,0.0194,0.2215,0.4492
1981-06-30,215.8000,217.5933,-0.1728,-0.1015,-0.2099,0.5028,0.1163
1981-12-28,195.1000,195.6817,-0.1005,-0.1230,0.1953,0.4157,0.2532
1982-05-26,178.8000,179.6500,-0.0218,0.2595,0.7192,0.3468,0.6437
1983-07-28,308.5000,313.5217,-0.0992,-0.1066,-0.2639,-0.0133,0.2311
1984-10-03,244.8000,245.6900,0.0065,0.1352,0.1495,0.4404,0.8321
1985-04-04,277.4000,278.1700,0.0764,0.0112,0.3306,0.5768,0.3407
1985-08-16,296.5000,296.5683,0.0327,0.1885,0.2793,0.5234,0.2617
1986-07-08,390.7000,393.2867,-0.0960,-0.0632,0.0868,0.0138,0.1159
1987-04-14,413.2000,419.2617,0.0436,0.0523,-0.0721,0.0061,0.0453
1987-09-21,436.0000,439.0417,-0.2502,-0.1317,-0.1206,0.0709,-0.1420
1988-05-11,369.2000,374.1950,0.0252,0.0260,0.1636,0.1682,0.3340
1988-08-09,384.2000,384.6100,-0.0200,0.0651,0.2059,0.0466,0.3149
1988-10-27,381.8000,381.8717,0.0424,0.1200,0.2001,-0.1103,0.3849
1989-06-30,435.3000,435.8517,0.0864,0.0448,0.0620,0.0933,0.2585
1989-10-16,461.0000,466.1183,-0.0451,-0.0555,-0.2852,0.1403,0.2448
1990-04-09,430.2000,430.5670,0.0716,-0.1908,0.1447,0.3861,0.5591
1990-07-23,444.6000,453.3750,-0.2411,-0.1460,0.1133,0.2692,0.5651
1991-05-15,478.0800,480.7290,0.0828,0.1623,0.2182,0.4259,0.4997
1991-11-19,523.4700,528.8922,0.2078,0.1085,0.1979,0.4742,0.4691
1992-03-24,618.6800,621.7825,-0.1056,-0.0577,0.0911,0.2887,0.3089
1992-10-02,571.6300,573.8288,0.1752,0.1718,0.3352,0.3370,0.8256
1993-02-16,665.3900,675.8372,0.0189,0.0924,0.1743,0.1864,0.6462
1993-11-18,754.3400,760.0377,0.0476,-0.0366,0.0152,0.3846,0.6841
1994-03-24,786.6800,788.9347,-0.1181,-0.0371,0.0407,0.4011,0.5941
1994-11-11,762.1200,762.6258,0.0358,0.1324,0.3959,0.6500,1.1026
1995-10-04,1002.2700,1018.8693,0.0275,0.1133,0.2333,0.6865,0.6087
1996-06-19,1179.2700,1182.9578,0.0224,0.0738,0.2147,0.5032,1.1738
1997-02-27,1312.6600,1329.3283,0.0689,0.2155,0.3488,0.7485,2.4875
1997-10-24,1650.9200,1653.0358,-0.0436,0.1095,0.0449,0.7030,1.0714
1998-05-21,1820.9900,1823.7337,0.0063,0.0420,0.3839,0.8618,0.2661
1998-08-03,1851.1000,1858.1832,-0.0431,0.3308,0.3981,0.9910,0.1174
1999-03-02,2259.0300,2261.6493,0.0677,0.2008,1.0791,-0.0475,-0.1632
1999-05-24,2453.6600,2480.7667,0.1084,0.3732,0.3711,-0.0570,-0.3267
1999-08-03,2587.9900,2599.3350,0.1467,0.5657,0.4241,-0.2008,-0.5133
1999-10-15,2731.8300,2735.6887,0.4877,0.2158,0.2141,-0.3882,-0.5286
2000-04-03,4223.6800,4459.0367,-0.0549,-0.1550,-0.6039,-0.5874,-0.6726
2000-07-28,3663.0000,3796.6922,-0.1067,-0.2251,-0.4491,-0.6593,-0.5321
2001-06-14,2044.0700,2057.8003,-0.2526,-0.0192,-0.2677,-0.1935,-0.0341
2002-01-22,1882.5300,1924.2032,-0.0658,-0.3187,-0.2753,0.1381,0.0868
2002-12-30,1339.5400,1349.5863,0.0065,0.2244,0.5004,0.6262,0.6559
